"HDI Rank (2015)","Country","2010","2011","2012","2013","2014","2015"
"73"," Sri Lanka","12.3","9.4","9.4","8.3","8.3","8.1 eeee"
"165"," Sudan","38.5","33.0","33.0","32.8","32.8","31.8 eeee"
"97"," Suriname","16.7","15.0","15.0","13.6","13.6","13.6 eeee"
"148"," Swaziland","36.4","35.0","35.0","35.0","35.0","35.0 eeee"
"14"," Sweden","3.7","3.3","3.3","3.1","3.1","3.3 eeee"
"2"," Switzerland","4.4","4.1","4.1","3.9","3.9","3.8 eeee"
"149"," Syrian Arab Republic","11.1","10.0","10.0","12.6","12.6","14.5 eeee"
"129"," Tajikistan","31.0","27.2","27.2","29.3","29.3","23.2 eeee"
"151"," United Republic of Tanzania","37.5","32.4","32.4","30.4","30.4","25.0 eeee"
"87"," Thailand","9.5","10.1","10.1","9.8","9.8","10.4 eeee"
"82"," The former Yugoslav Republic of Macedonia","10.4","9.4","9.4","7.6","7.6","7.6 eeee"
"133"," Timor-Leste","34.3","30.2","30.2","22.8","22.8","24.4 eeee"
"166"," Togo","35.4","37.2","37.2","36.8","36.8","32.4 eeee"
"101"," Tonga","14.5","13.8","13.8","13.7","13.7","13.6 eeee"
"65"," Trinidad and Tobago","17.4","16.6","16.6","16.4","16.4","16.6 eeee"
"97"," Tunisia","12.7","12.6","12.6","10.6","10.6","12.2 eeee"
"71"," Turkey","16.5","12.8","12.8","11.0","11.0","11.5 eeee"
"111"," Turkmenistan","27.5","26.7","26.7","26.0","26.0","26.0 eeee"
"163"," Uganda","40.7","39.1","39.1","33.8","33.8","35.7 eeee"
"84"," Ukraine","11.0","10.5","10.5","10.4","10.4","8.7 eeee"
"42"," United Arab Emirates","7.4","6.3","6.3","5.5","5.5","5.8 eeee"
"16"," United Kingdom","4.9","4.8","4.8","4.5","4.5","4.5 eeee"
"10"," United States","6.0","6.6","6.6","6.2","6.2","6.1 eeee"
"54"," Uruguay","10.1","9.3","9.3","9.2","9.2","9.5 eeee"
"105"," Uzbekistan","25.9","24.3","24.3","24.3","24.3","24.3 eeee"
"134"," Vanuatu","","15.6","15.6","15.4","15.4","15.4 eeee"
"71"," Venezuela (Bolivarian Republic of)","13.3","12.2","12.2","12.2","12.2","11.4 eeee"
"115"," Viet Nam","13.8","13.4","13.4","12.1","12.1","14.2 eeee"
"168"," Yemen","31.2","25.1","25.1","30.3","30.3","29.4 eeee"
"139"," Zambia","46.5","41.9","41.9","37.2","37.2","33.8 eeee"
"154"," Zimbabwe","34.2","30.6","30.6","26.8","26.8","31.2 eeee"
"eeee: Calculated by HDRO from the 2010-2015 period life tables from UNDESA (2015)."
